U.S. Lg Cap Growth,U.S. Lg Cap Value,U.S. Mid Cap Growth,U.S. Mid Cap Growth,U.S. Sm Cap Growth,U.S. Sm Cap Val,Foreign Industrialzed Mkts Stocks,Emerging Mkts Stks,U.S. Investment Grade Bonds,U.S. High Yield Bonds,Non-U.S. Bonds,Cash,Commodities,Real Estate
1,0.848,0.896,0.74,0.856,0.718,0.582,0.517,0.189,0.528,0.005,0.023,0.124,0.444
0.848,1,0.778,0.899,0.743,0.844,0.586,0.537,0.23,0.577,-0.008,0.052,0.141,0.588
0.896,0.778,1,0.776,0.98,0.792,0.558,0.559,0.125,0.562,-0.019,-0.019,0.162,0.515
0.74,0.899,0.776,1,0.767,0.957,0.536,0.512,0.212,0.62,-0.015,-0.002,0.15,0.678
0.856,0.743,0.98,0.767,1,0.805,0.539,0.56,0.097,0.581,-0.036,-0.035,0.161,0.541
0.718,0.844,0.792,0.957,0.805,1,0.516,0.517,0.16,0.644,-0.032,-0.013,0.157,0.701
0.582,0.586,0.558,0.536,0.539,0.516,1,0.667,0.17,0.398,0.288,0.052,0.181,0.389
0.517,0.537,0.559,0.512,0.56,0.517,0.667,1,0.036,0.432,0.025,0.003,0.201,0.343
0.189,0.23,0.125,0.212,0.097,0.16,0.17,0.036,1,0.382,0.447,0.237,-0.107,0.157
0.528,0.577,0.562,0.62,0.581,0.644,0.398,0.432,0.382,1,0.082,0.01,0.039,0.499
0.005,-0.008,-0.019,-0.015,-0.036,-0.032,0.288,0.025,0.447,0.082,1,0.229,-0.076,-0.001
0.023,0.052,-0.019,-0.002,-0.035,-0.013,0.052,0.003,0.237,0.01,0.229,1,-0.163,-0.05
0.124,0.141,0.162,0.15,0.161,0.157,0.181,0.201,-0.107,0.039,-0.076,-0.163,1,0.159
0.444,0.588,0.515,0.678,0.541,0.701,0.389,0.343,0.157,0.499,-0.001,-0.05,0.159,1
